sucursal,producto,semana,y_real,probabilidad,magnitud,umbral,y_pred,Modelo
1,ENALAPRIL 10MG,2026-01-18,0.0,0.13655111,1.1934738,0.5,0.0,TwoStage
1,IBUPROFENO TABX800,2026-01-18,0.0,0.012120696,1.2971951,0.5,0.0,TwoStage
1,LOPERAMIDA 2MG,2026-01-18,0.0,0.044685494,1.2971951,0.5,0.0,TwoStage
1,METFORMINA 850MG,2026-01-18,0.0,0.16160819,1.3203336,0.5,0.0,TwoStage
1,PARACETAMOL 500MG,2026-01-18,0.0,0.12131702,1.2971951,0.5,0.0,TwoStage
1,VITAMINA C+ZINC+D3,2026-01-18,0.0,0.48191163,1.8941833,0.5,0.0,TwoStage
2,AMOXICILINA 500MG,2026-01-18,0.0,0.119319506,1.3112217,0.5,0.0,TwoStage
2,AZITROMICINA 500MG,2026-01-18,0.0,0.023224222,1.3112217,0.5,0.0,TwoStage
2,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.014500369,1.3112217,0.5,0.0,TwoStage
2,ENALAPRIL 10MG,2026-01-18,0.0,0.13434112,1.219741,0.5,0.0,TwoStage
2,IBUPROFENO TABX800,2026-01-18,0.0,0.013706001,1.3112217,0.5,0.0,TwoStage
2,METFORMINA 850MG,2026-01-18,0.0,0.050166856,1.3343602,0.5,0.0,TwoStage
2,PARACETAMOL 500MG,2026-01-18,0.0,0.15056342,1.3112217,0.5,0.0,TwoStage
2,VITAMINA C+ZINC+D3,2026-01-18,0.0,0.35764223,1.8478813,0.5,0.0,TwoStage
3,AMOXICILINA 500MG,2026-01-18,1.0,0.19262792,1.9942532,0.5,0.0,TwoStage
3,AZITROMICINA 500MG,2026-01-18,0.0,0.023656232,1.3993268,0.5,0.0,TwoStage
3,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.014772549,1.3993268,0.5,0.0,TwoStage
3,ENALAPRIL 10MG,2026-01-18,0.0,0.104990505,1.2956055,0.5,0.0,TwoStage
3,IBUPROFENO TABX800,2026-01-18,0.0,0.012120696,1.3993268,0.5,0.0,TwoStage
3,LOPERAMIDA 2MG,2026-01-18,0.0,0.015448096,1.3993268,0.5,0.0,TwoStage
3,LORATADINA 10MG,2026-01-18,0.0,0.007725465,1.3993268,0.5,0.0,TwoStage
