sucursal,producto,semanas,semanas_train,semanas_test,estado,motivo,orden,aic
17,LOPERAMIDA 2MG,28,0.0,28.0,descartada,menos_de_10_semanas_train,,
17,METFORMINA 850MG,4,,,descartada,menos_de_20_semanas,,
17,PARACETAMOL 500MG,35,4.0,30.0,descartada,menos_de_10_semanas_train,,
17,VITAMINA C+ZINC+D3,23,0.0,23.0,descartada,menos_de_10_semanas_train,,
18,AZITROMICINA 500MG,27,0.0,27.0,descartada,menos_de_10_semanas_train,,
18,DIMENHIDRINATO 50MG,30,0.0,30.0,descartada,menos_de_10_semanas_train,,
18,ENALAPRIL 10MG,21,0.0,21.0,descartada,menos_de_10_semanas_train,,
18,IBUPROFENO TABX800,19,,,descartada,menos_de_20_semanas,,
18,LOPERAMIDA 2MG,31,0.0,30.0,descartada,menos_de_10_semanas_train,,
18,METFORMINA 850MG,18,,,descartada,menos_de_20_semanas,,
18,PARACETAMOL 500MG,5,,,descartada,menos_de_20_semanas,,
18,VITAMINA C+ZINC+D3,1,,,descartada,menos_de_20_semanas,,
19,AZITROMICINA 500MG,22,0.0,22.0,descartada,menos_de_10_semanas_train,,
19,DIMENHIDRINATO 50MG,16,,,descartada,menos_de_20_semanas,,
19,ENALAPRIL 10MG,14,,,descartada,menos_de_20_semanas,,
19,IBUPROFENO TABX800,3,,,descartada,menos_de_20_semanas,,
19,METFORMINA 850MG,6,,,descartada,menos_de_20_semanas,,
19,VITAMINA C+ZINC+D3,23,0.0,23.0,descartada,menos_de_10_semanas_train,,
