sucursal,producto,Modelo,MAE,RMSE,R2,Observaciones,Series,Varianza_y_real,SST,Porcentaje_ceros_test,R2_estado,Advertencias,clasificacion_demanda,grupo_demanda,porcentaje_ceros
10,VITAMINA C+ZINC+D3,XGBoost,1.022302520275116,1.2793196956113797,-0.037435904905675166,25,1,1.5776,39.44,32.0,definido,una_sola_serie,intermitente,mayor_intermitencia,46.15384615384615
11,AMOXICILINA 500MG,ARIMA (Optimizado ADF/AIC),4.824558165895693e-06,4.8245581658956926e-06,,28,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
11,AMOXICILINA 500MG,Random Forest,0.007710074210609279,0.00812454289026433,,28,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
11,AMOXICILINA 500MG,Regresión Lineal,0.018988165489631535,0.021638039180367694,,28,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
11,AMOXICILINA 500MG,XGBoost,0.026255208998918533,0.026255208998918533,,28,1,0.0,0.0,100.0,no_definido_target_constante,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
11,AZITROMICINA 500MG,ARIMA (Optimizado ADF/AIC),0.033338157891499215,0.18257506673645424,-0.03449274118753998,30,1,0.03222222222222221,0.9666666666666662,96.66666666666667,definido,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
11,AZITROMICINA 500MG,Random Forest,0.05365535978359117,0.1818243942403444,-0.026003424371771944,30,1,0.03222222222222221,0.9666666666666662,96.66666666666667,definido,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
11,AZITROMICINA 500MG,Regresión Lineal,0.06047732847734859,0.1896759713296758,-0.11652678240932457,30,1,0.03222222222222221,0.9666666666666662,96.66666666666667,definido,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
11,AZITROMICINA 500MG,XGBoost,0.067339426279068,0.18209033513948494,-0.029006935727205807,30,1,0.03222222222222221,0.9666666666666662,96.66666666666667,definido,una_sola_serie,sin_demanda_positiva,sin_demanda_positiva,100.0
11,DIMENHIDRINATO 50MG,ARIMA (Optimizado ADF/AIC),0.11390471196085832,0.5551101784213898,-0.028380507409880185,29,1,0.2996432818073722,8.689655172413794,96.55172413793103,definido,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.87640449438202
11,DIMENHIDRINATO 50MG,Random Forest,0.14904420211215105,0.5611398722722671,-0.050842703211873896,29,1,0.2996432818073722,8.689655172413794,96.55172413793103,definido,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.87640449438202
11,DIMENHIDRINATO 50MG,Regresión Lineal,0.1650826802262813,0.5701935351025497,-0.08502571962133532,29,1,0.2996432818073722,8.689655172413794,96.55172413793103,definido,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.87640449438202
11,DIMENHIDRINATO 50MG,XGBoost,0.1656980749605031,0.5605971455474786,-0.048810965159602926,29,1,0.2996432818073722,8.689655172413794,96.55172413793103,definido,una_sola_serie,positivas_insuficientes,mayor_intermitencia,98.87640449438202
11,ENALAPRIL 10MG,ARIMA (Optimizado ADF/AIC),0.22013539333981083,0.4629746341071187,-0.042761949426802115,30,1,0.20555555555555555,6.166666666666666,86.66666666666667,definido,una_sola_serie,intermitente,mayor_intermitencia,92.70833333333334
