sucursal,producto,ADI,CV2,porcentaje_ceros,clasificacion_demanda,grupo_demanda,n_semanas,n_semanas_demanda_positiva,media_demanda_positiva,desviacion_demanda_positiva,periodo_clasificacion,inicio_train,fin_train,CV2_estimable,intervalo_ceros,en_poblacion_comun
7,NAPROXENO TABX550MG,97.0,,98.96907216494846,positivas_insuficientes,mayor_intermitencia,97,1,1.0,,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,False,,False
7,PARACETAMOL 500MG,52.0,0.0,98.07692307692307,intermitente,mayor_intermitencia,104,2,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q3,True
7,VITAMINA C+ZINC+D3,2.5365853658536586,0.25756293161060373,60.57692307692307,intermitente,mayor_intermitencia,104,41,1.6341463414634145,0.8293400255919043,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q1,True
8,AMOXICILINA 500MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,71,0,,,TRAIN anterior a 2026-01-01,2024-08-25,2025-12-28,False,Q3,True
8,AZITROMICINA 500MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,104,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
8,CETIRIZINA 10MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,94,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-10-19,False,,False
8,DIMENHIDRINATO 50MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,101,0,,,TRAIN anterior a 2026-01-01,2024-01-28,2025-12-28,False,Q3,True
8,ENALAPRIL 10MG,26.0,0.0,96.15384615384616,intermitente,mayor_intermitencia,104,4,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q2,True
8,IBUPROFENO TABX800,,,100.0,sin_demanda_positiva,sin_demanda_positiva,103,0,,,TRAIN anterior a 2026-01-01,2024-01-14,2025-12-28,False,Q3,True
8,LOPERAMIDA 2MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,104,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
8,LORATADINA 10MG,94.0,,98.93617021276596,positivas_insuficientes,mayor_intermitencia,94,1,4.0,,TRAIN anterior a 2026-01-01,2024-01-07,2025-10-19,False,,False
8,LOSARTAN 50MG,11.875,0.09876543209876545,91.57894736842105,intermitente,mayor_intermitencia,95,8,1.125,0.3535533905932738,TRAIN anterior a 2026-01-01,2024-01-07,2025-10-26,True,,False
8,METFORMINA 850MG,34.666666666666664,0.18749999999999997,97.11538461538461,intermitente,mayor_intermitencia,104,3,1.3333333333333333,0.5773502691896257,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q2,True
8,NAPROXENO TABX550MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,95,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-10-26,False,,False
8,OMEPRAZOL 20MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,23,0,,,TRAIN anterior a 2026-01-01,2024-11-03,2025-04-06,False,,False
8,PARACETAMOL 500MG,104.0,,99.03846153846155,positivas_insuficientes,mayor_intermitencia,104,1,1.0,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
8,VITAMINA C+ZINC+D3,3.5714285714285716,0.21437653870086298,72.0,intermitente,mayor_intermitencia,100,28,1.3214285714285714,0.6118321864193026,TRAIN anterior a 2026-01-01,2024-02-04,2025-12-28,True,Q1,True
9,AMOXICILINA 500MG,41.5,0.22222222222222227,97.59036144578313,intermitente,mayor_intermitencia,83,2,1.5,0.7071067811865476,TRAIN anterior a 2026-01-01,2024-06-02,2025-12-28,True,Q3,True
