codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion,producto,categoria_abc,dia
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,2.0,0.0,30.4,2025-03-23 19:44:32,2,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2025-03-23
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,1.0,0.0,15.2,2025-10-03 10:56:03,2,10,Primavera,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2025-10-03
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-10-03 11:11:46,2,10,Primavera,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2025-10-03
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,1.0,0.0,15.2,2025-10-03 11:32:41,2,10,Primavera,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2025-10-03
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,1.0,0.0,14.9,2026-04-17 18:35:35,2,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2026-04-17
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-14.9,2026-04-17 20:49:26,2,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2026-04-17
108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,-10.0,0.0,-250.0,2025-10-30 12:00:00,3,10,Primavera,AMOXICILINA 500MG,Clase C (Baja Rotación),2025-10-30
108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,2.5,2025-10-30 22:06:59,3,10,Primavera,AMOXICILINA 500MG,Clase C (Baja Rotación),2025-10-30
102932,DIMENHIDRINATO 50MG TAB CJAX100UND,PORTUGAL GENERICO,-1.0,0.0,-8.0,2025-10-30 12:00:00,3,10,Primavera,DIMENHIDRINATO 50MG,Clase C (Baja Rotación),2025-10-30
102932,DIMENHIDRINATO 50MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,100.0,8.0,2025-10-30 12:26:57,3,10,Primavera,DIMENHIDRINATO 50MG,Clase C (Baja Rotación),2025-10-30
107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,-1.0,0.0,-15.5,2024-04-13 12:00:00,3,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-04-13
107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,1.0,0.0,15.5,2024-04-13 19:24:10,3,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-04-13
107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,1.0,0.0,15.5,2024-04-13 19:26:46,3,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-04-13
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,1.0,0.0,15.2,2025-07-24 10:26:24,3,7,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2025-07-24
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-07-24 12:00:00,3,7,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2025-07-24
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,1.0,0.0,15.2,2025-07-24 21:31:41,3,7,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2025-07-24
101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,1.0,0.0,10.0,2025-04-03 13:19:23,4,4,Otoño,ENALAPRIL 10MG,Clase A (Alta Rotación),2025-04-03
101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,-1.0,0.0,-10.0,2025-04-03 13:30:30,4,4,Otoño,ENALAPRIL 10MG,Clase A (Alta Rotación),2025-04-03
100923,PARACETAMOL 500MG CJAX100TAB,GENFAR,-1.0,0.0,-10.01,2024-01-06 12:00:00,4,1,Verano,PARACETAMOL 500MG,Clase B (Rotación Media),2024-01-06
100923,PARACETAMOL 500MG CJAX100TAB,GENFAR,0.0,10.0,1.0,2024-01-06 12:27:11,4,1,Verano,PARACETAMOL 500MG,Clase B (Rotación Media),2024-01-06
100923,PARACETAMOL 500MG CJAX100TAB,GENFAR,1.0,0.0,10.01,2024-01-06 19:20:32,4,1,Verano,PARACETAMOL 500MG,Clase B (Rotación Media),2024-01-06
100923,PARACETAMOL 500MG CJAX100TAB,GENFAR,1.0,0.0,10.01,2024-01-06 19:52:36,4,1,Verano,PARACETAMOL 500MG,Clase B (Rotación Media),2024-01-06
100923,PARACETAMOL 500MG CJAX100TAB,GENFAR,0.0,10.0,1.0,2024-01-06 23:09:12,4,1,Verano,PARACETAMOL 500MG,Clase B (Rotación Media),2024-01-06
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-2.0,0.0,-30.8,2024-11-20 12:00:00,4,11,Primavera,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-11-20
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,2.0,0.0,30.8,2024-11-20 22:19:43,4,11,Primavera,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-11-20
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,2.0,0.0,30.8,2024-11-20 22:22:34,4,11,Primavera,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-11-20
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,1.0,0.0,15.4,2024-12-05 10:07:04,4,12,Verano,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-12-05
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.4,2024-12-05 12:00:00,4,12,Verano,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-12-05
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2024-12-07 12:00:00,4,12,Verano,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-12-07
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,1.0,0.0,15.2,2024-12-07 12:26:26,4,12,Verano,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-12-07
102721,LOSARTAN 50MG CJAX100TAB,PERUFARMA GENERICO,1.0,0.0,20.0,2024-05-31 10:27:19,5,5,Otoño,LOSARTAN 50MG,Clase B (Rotación Media),2024-05-31
